uri,record,gallica_url,title_lat,creator_lat,uris_for_record
0180IbnJacfarAnsari.HadithIsmacil,OAI_10030742,http://gallica.bnf.fr/ark:/12148/btv1b10030742s,['Raudhat al-nisrin fi moulouk Bani Marin. Histoire des Mérinides par Ismaïl ibn al-Ahmar.'],['Ismaʿil ibn al-Ahmar'],2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10031126,http://gallica.bnf.fr/ark:/12148/btv1b10031126t,['Nasīm al-saḥar'],"['Ṯaʿālibī, ʿAbd al-Malik ibn Muḥammad Abū Manṣūr al- . Auteur prétendu du texte', 'Ṭarābulusī, Ibrāhīm ibn Ismāʿīl Abū Isḥāq. Auteur prétendu du texte', 'Nuʿmānī, Abū Manṣūr al-. Auteur prétendu du texte']",1
0180IbnJacfarAnsari.HadithIsmacil,OAI_10031300,http://gallica.bnf.fr/ark:/12148/btv1b100313002,"[""Tohfat al-arib fil-radd ʿala ahl al-salib , réfutation du Christianisme, par un renégat de l'île de Majorque, qui prit dans l'Islamisme le nom d' ʿAbd Allah ibn ʿAbd Allah al-Tardjouman, accompagnée d'une traduction en langue turque.""]","['ʿAbd Allah ibn ʿAbd Allah al-Tardjouman', 'Aboul-Ghaïth Mohammad ibn al-Kashshash']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10031527,http://gallica.bnf.fr/ark:/12148/btv1b10031527s,"[""Madjmaʿ al-bahraïn wa moultaka al-niraïn ; traité de droit hanéfite, compilé par Ahmad ibn ʿAli ibn Talib al-Baghdadi, surnommé Ibn al-Sa ʿati, d'après le Mokhtasar d'al-Koudouri et la Manzouma d'Abou Hafs al-Nasafi.""]","['Ismaʿïl ibn Hasan', 'Ahmad ibn ʿAli ibn Talib al-Baghdadi Ibn al-Saʿati (Mouzaffar al-Din)']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10462960,http://gallica.bnf.fr/ark:/12148/btv1b104629606,['Traité de géographie.'],"['Qazwīnī, Zakariyyā ibn Muḥammad ibn Maḥmūd al- . Auteur prétendu du texte']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10884197,http://gallica.bnf.fr/ark:/12148/btv1b10884197z,[],"['Al-ĠAWRĪ (Sultan)', 'ŠĀH ISMĀʿĪL', 'ḤASAN ibn Ḥusayn ibn Aḥmad al-Ṭūlūnī']",1
0180IbnJacfarAnsari.HadithIsmacil,OAI_10884731,http://gallica.bnf.fr/ark:/12148/btv1b108847312,"[""ISMĀʿĪL al-Ğazarī (Abū al-ʿIzz), Kitāb fī ma 'rifat al-ḥiyal al-handasiyya.""]","['Ǧazarī, Ismāʿīl ibn al-Razzāz al-']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10884833,http://gallica.bnf.fr/ark:/12148/btv1b10884833b,['Nasīm al-saḥar'],"['Ṯaʿālibī, ʿAbd al-Malik ibn Muḥammad Abū Manṣūr al- . Auteur prétendu du texte', 'Ṭarābulusī, Ibrāhīm ibn Ismāʿīl Abū Isḥāq. Auteur prétendu du texte', 'Nuʿmānī, Abū Manṣūr al-. Auteur prétendu du texte']",1
0180IbnJacfarAnsari.HadithIsmacil,OAI_11000556,http://gallica.bnf.fr/ark:/12148/btv1b11000556j,['ṬĀHIR IBN ISLĀM IBN QĀSIM AL-ANṢĀRĪ AL-ḪWĀRIZMĪ. Ǧawāhir [ad-fiqh].'],['Ṭāhir ibn Islām al-Anṣārī al-Ḫwārizmī'],1
0180IbnJacfarAnsari.HadithIsmacil,OAI_11000740,http://gallica.bnf.fr/ark:/12148/btv1b110007406,['MASʿŪD IBN ʿUMAR SAʿD AL-DĪN AL-TAFTĀZĀNĪ. Commentaire sur les ʿAqāʾid de ʿUmar ibn Muḥammad Naǧm al-Dīn al-Nasafī.'],"['Masʿūd ibn ʿUmar al-Taftāzānī', 'ʿUmar ibn Muḥammad al-Nasafī']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_11000748,http://gallica.bnf.fr/ark:/12148/btv1b11000748s,['Recueil.'],"['Ismāʿīl ibn Bālī al-Qarāmānī', 'Muḥyī l-Dīn al-Tāliǧī']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_11000999,http://gallica.bnf.fr/ark:/12148/btv1b110009992,[],"['Al-ĠAWRĪ (Sultan)', 'ŠĀH ISMĀʿĪL', 'ḤASAN ibn Ḥusayn ibn Aḥmad al-Ṭūlūnī']",1
0180IbnJacfarAnsari.HadithIsmacil,OAI_11001069,http://gallica.bnf.fr/ark:/12148/btv1b11001069r,"[""Taḏkira li-ahl al-baṣā'ir wa-al-abṣār maʿa wağh al-iḫtiṣār. Ismāʿīl al-Ḫaššāb.""]","['Khashashâb, Ismaïl El- (17..?-1815)', 'ISMĀʿĪL Ḫasšāb']",1
0180IbnJacfarAnsari.HadithIsmacil,OAI_11001638,http://gallica.bnf.fr/ark:/12148/btv1b11001638b,[],['ISMĀʿĪL ibn al-Ḥasan al-Ğorğānī'],2
0180IbnJacfarAnsari.HadithIsmacil,OAI_11001715,http://gallica.bnf.fr/ark:/12148/btv1b11001715j,[],['ISMĀʿĪL al-Mawṣilī (Abū al-Faḍl)'],1
