BNF OAI_11000434 candidates:
Latin count: 2
Arabic count: 0
  MATCH 0201CaliIbnCasim.Hadith (lat): score=12
  MATCH 0203CaliRida.RisalaDhahabiyya (lat): score=33
  MATCH 0203CaliRida.RisalaDhahabiyya (lat): score=29
  MATCH 0203CaliRida.Sahifa (lat): score=22
  MATCH 0203CaliRida.Sahifa (lat): score=16
  MATCH 0203IbnSulaymanGhazi.MusnadRida (lat): score=24
  MATCH 0203IbnSulaymanGhazi.MusnadRida (lat): score=21
  MATCH 0203YahyaIbnAdam.Kharaj (lat): score=16
  MATCH 0203YahyaIbnAdam.Kharaj (lat): score=12
  MATCH 0204AbuDawudTayalisi.Musnad (lat): score=16
  MATCH 0204AbuDawudTayalisi.Musnad (lat): score=12
  MATCH 0204IbnKalbi.Asnam (lat): score=22
  MATCH 0204IbnKalbi.Asnam (lat): score=16
  MATCH 0204IbnKalbi.JamharatAnsab (lat): score=36
  MATCH 0204IbnKalbi.JamharatAnsab (lat): score=27
  MATCH 0204IbnKalbi.NasabKhayl (lat): score=39
  MATCH 0204IbnKalbi.NasabKhayl (lat): score=47
  MATCH 0204IbnKalbi.NasabMacad (lat): score=29
  MATCH 0204IbnKalbi.NasabMacad (lat): score=25
  MATCH 0204Shafici.AhkamQuran (lat): score=29
  MATCH 0204Shafici.AhkamQuran (lat): score=21
  MATCH 0204Shafici.Diwan (lat): score=11
  MATCH 0204Shafici.Diwan (lat): score=12
  MATCH 0204Shafici.IkhtilafHadith (lat): score=22
  MATCH 0204Shafici.IkhtilafHadith (lat): score=23
  MATCH 0204Shafici.JimacCilm (lat): score=24
  MATCH 0204Shafici.JimacCilm (lat): score=18
  MATCH 0204Shafici.Musnad (lat): score=16
  MATCH 0204Shafici.Musnad (lat): score=12
  MATCH 0204Shafici.Risala (lat): score=16
  MATCH 0204Shafici.Risala (lat): score=20
  MATCH 0204Shafici.SunanMathura (lat): score=27
  MATCH 0204Shafici.SunanMathura (lat): score=24
  MATCH 0204Shafici.TafsirShafici (lat): score=27
  MATCH 0204Shafici.TafsirShafici (lat): score=24
  MATCH 0204Shafici.Umm (lat): score=12
  MATCH 0206AbuCamrShaybani.Jim (lat): score=12
  MATCH 0206AbuCamrShaybani.Jim (lat): score=4
  MATCH 0206AbuMuhammadQutrub.Azmina (lat): score=22
  MATCH 0206AbuMuhammadQutrub.Azmina (lat): score=16
  MATCH 0206IshaqIbnBishrQurashi.Mubtada (lat): score=21
  MATCH 0206IshaqIbnBishrQurashi.Mubtada (lat): score=12
  MATCH 0207IbnBakkarQaysi.Juz (lat): score=6
  MATCH 0207IbnBakkarQaysi.Juz (lat): score=4
  MATCH 0207IbnZiyadFarra.LughatQuran (lat): score=28
  MATCH 0207IbnZiyadFarra.LughatQuran (lat): score=21
  MATCH 0207IbnZiyadFarra.MacaniQuran (lat): score=28
  MATCH 0207IbnZiyadFarra.MacaniQuran (lat): score=28
  MATCH 0207Waqidi.FutuhSham (lat): score=20
  MATCH 0207Waqidi.FutuhSham (lat): score=11
  MATCH 0207Waqidi.Maghazi (lat): score=36
  MATCH 0207Waqidi.Maghazi (lat): score=36
  MATCH 0207Waqidi.Ridda (lat): score=39
  MATCH 0207Waqidi.Ridda (lat): score=27
  MATCH 0209AbuCaliAshyabBaghdadi.JuzAshyab (lat): score=34
  MATCH 0209AbuCaliAshyabBaghdadi.JuzAshyab (lat): score=18
  MATCH 0209AbuCubayda.Dibaj (lat): score=36
  MATCH 0209AbuCubayda.Dibaj (lat): score=25
  MATCH 0209AbuCubayda.Khayl (lat): score=32
  MATCH 0209AbuCubayda.Khayl (lat): score=28
  MATCH 0209AbuCubayda.MajazQuran (lat): score=24
  MATCH 0209AbuCubayda.MajazQuran (lat): score=21
  MATCH 0209AbuCubayda.SharhNaqaidJarir (lat): score=37
  MATCH 0209AbuCubayda.SharhNaqaidJarir (lat): score=29
  MATCH 0210CulayyaBintMahdi.Diwan (lat): score=11
  MATCH 0210CulayyaBintMahdi.Diwan (lat): score=12
  MATCH 0211AbuCatahiya.Diwan (lat): score=11
  MATCH 0211AbuCatahiya.Diwan (lat): score=12
  MATCH 0211AbuCatahiya.UrjuzaDhatAmthal (lat): score=33
  MATCH 0211AbuCatahiya.UrjuzaDhatAmthal (lat): score=25
